Task;Model;mode;Target;MSE;RMSE;R2;CV_MSE;CV_STD
pentagon;Gradient Boosting;multi-output;Anxiety;3.702.301.073.027.140;6.084.653.706.684.660;-0.0015428890177071608;4.392.952.601.440.660;56.548.457.586.582.200
pentagon;Gradient Boosting;subscales;Depression;45.282.656.906.020.200;6.729.238.954.445.010;-0.03720652148103265;3.454.398.968.345.410;4.364.711.183.521.980
pentagon;Gradient Boosting;subscales;Anxiety;3.702.301.073.027.140;6.084.653.706.684.660;-0.0015428890177071608;35.566.837.558.704.900;2.904.692.164.141.370
pentagon;Gradient Boosting;subscales;Stress;5.904.942.892.375.460;7.684.362.623.129.820;0.012434093209843233;61.677.750.801.060.900;10.452.647.512.028.800
cdt;Linear Regression;total;TOTAL DASS;27.909.725.291.498.700;16.706.204.024.702.500;-0.17239379425394175;36.750.082.834.551.500;9.340.701.997.642.200
cdt;Linear Regression;multi-output;Depression;30.603.558.789.756.100;5.532.048.335.811.620;0.07820606054951407;5.365.375.233.329.790;10.522.849.343.904.600
cdt;Linear Regression;multi-output;Stress;4.427.078.999.872.330;6.653.629.836.316.660;-0.20437206186132495;5.365.375.233.329.790;10.522.849.343.904.600
cdt;Linear Regression;multi-output;Anxiety;36.663.998.368.968.200;6.055.080.376.755.390;-0.16520893829986605;5.365.375.233.329.790;10.522.849.343.904.600
cdt;Linear Regression;subscales;Depression;30.603.558.789.756.100;5.532.048.335.811.620;0.07820606054951407;4.803.476.369.542.620;17.092.923.569.695.700
cdt;Linear Regression;subscales;Anxiety;36.663.998.368.968.200;6.055.080.376.755.390;-0.16520893829986605;4.213.272.189.385.370;951.453.560.824.068
cdt;Linear Regression;subscales;Stress;4.427.078.999.872.330;6.653.629.836.316.660;-0.20437206186132495;70.793.771.410.614;16.360.770.091.238.300
cdt;Ridge Regression;total;TOTAL DASS;2.458.551.555.827.420;15.679.768.990.094.900;-0.03275491134390496;3.099.410.134.472.910;1.895.511.481.800.270
cdt;Ridge Regression;multi-output;Depression;31.664.684.686.058.200;5.627.138.232.357.390;0.04624443716691984;4.427.336.994.775.270;2.941.048.624.990.840
cdt;Ridge Regression;multi-output;Stress;3.931.406.098.196.460;6.270.092.581.610.310;-0.06952590379245782;4.427.336.994.775.270;2.941.048.624.990.840
cdt;Ridge Regression;multi-output;Anxiety;3.305.689.160.467.580;5.749.512.292.766.740;-0.05057242209510937;4.427.336.994.775.270;2.941.048.624.990.840
cdt;Ridge Regression;subscales;Depression;31.664.684.686.058.200;5.627.138.232.357.390;0.04624443716691984;3.756.850.765.666.700;36.558.812.447.613.400
cdt;Ridge Regression;subscales;Anxiety;3.305.689.160.467.580;5.749.512.292.766.740;-0.05057242209510937;36.681.997.571.238.400;25.566.858.811.433.700
cdt;Ridge Regression;subscales;Stress;3.931.406.098.196.460;6.270.092.581.610.310;-0.06952590379245782;5.856.960.461.535.280;26.144.511.858.328.400
cdt;Lasso Regression;total;TOTAL DASS;24.732.132.231.404.900;1.572.645.294.763.090;-0.03891378521017419;3.006.352.136.263.060;8.037.624.421.161.060
cdt;Lasso Regression;multi-output;Depression;3.321.103.560.861.130;5.762.901.665.707.240;-0.00033239784973981834;4.311.091.564.791.890;10.581.043.163.730.000
cdt;Lasso Regression;multi-output;Stress;39.537.524.742.373.200;6.287.887.144.532.190;-0.07560516078973056;4.311.091.564.791.890;10.581.043.163.730.000
cdt;Lasso Regression;multi-output;Anxiety;330.823.507.805.326;5.751.725.895.810.100;-0.0513815335011123;4.311.091.564.791.890;10.581.043.163.730.000
cdt;Lasso Regression;subscales;Depression;3.321.103.560.861.130;5.762.901.665.707.240;-0.00033239784973981834;36.691.888.593.258.500;9.819.413.733.406.630
cdt;Lasso Regression;subscales;Anxiety;330.823.507.805.326;5.751.725.895.810.100;-0.0513815335011123;35.512.522.352.187.100;8.970.151.309.867.640
cdt;Lasso Regression;subscales;Stress;39.537.524.742.373.200;6.287.887.144.532.190;-0.07560516078973056;5.712.833.599.831.120;12.970.556.672.713.000
cdt;Elastic Net;total;TOTAL DASS;24.732.132.231.404.900;1.572.645.294.763.090;-0.03891378521017419;3.006.352.136.263.060;42.410.751.147.316.500
cdt;Elastic Net;multi-output;Depression;3.321.103.560.861.130;5.762.901.665.707.240;-0.00033239784973981834;4.311.091.564.791.890;5.524.368.155.208.660
cdt;Elastic Net;multi-output;Stress;39.537.524.742.373.200;6.287.887.144.532.190;-0.07560516078973056;4.311.091.564.791.890;5.524.368.155.208.660
cdt;Elastic Net;multi-output;Anxiety;330.823.507.805.326;5.751.725.895.810.100;-0.0513815335011123;4.311.091.564.791.890;5.524.368.155.208.660
cdt;Elastic Net;subscales;Depression;3.321.103.560.861.130;5.762.901.665.707.240;-0.00033239784973981834;36.691.888.593.258.500;5.192.292.302.971.910
cdt;Elastic Net;subscales;Anxiety;330.823.507.805.326;5.751.725.895.810.100;-0.0513815335011123;35.512.522.352.187.100;5.232.546.165.454.310
cdt;Elastic Net;subscales;Stress;39.537.524.742.373.200;6.287.887.144.532.190;-0.07560516078973056;5.712.833.599.831.120;6.183.101.107.564.340
